RESEMAVAL,DISBELIEF,RELATIVISM,SCEPTICISM,AGE,EDUCATION,DEFIANCE,ReligCountry
0.152083,0.277778,0.0,0.0,61,3,0.0,Religious
0.168426,0.166667,0.0,0.553333,26,1,0.0,Religious
0.121852,0.166667,0.0,0.33,29,3,0.0,Religious
0.085093,0.166667,0.0,0.553333,28,2,0.11,Religious
0.404815,0.277778,0.666667,0.33,55,0,0.276667,Religious
0.460917,0.333333,0.0,0.0,55,0,0.276667,Religious
0.388333,0.023,0.0,0.11,20,2,0.166667,Religious
0.360833,0.277778,0.0,0.0,25,3,0.11,Religious
0.255417,0.222222,0.666667,0.44,38,2,0.22,Religious
0.269167,0.222222,1.0,0.33,50,1,0.22,Religious
0.112593,0.333333,1.0,0.44,30,1,0.0,Religious
0.31875,0.0,0.0,0.33,42,7,0.0,Religious
0.320787,0.111111,0.0,0.33,30,2,0.0,Religious
0.293009,0.222222,0.0,0.33,25,2,0.0,Religious
0.336435,0.222222,0.0,0.22,46,2,0.0,Religious
0.339167,0.222222,0.0,0.0,30,1,0.0,Religious
0.173333,0.166667,0.0,0.22,37,2,0.0,Religious
0.246435,0.222222,0.0,0.33,58,0,0.0,Religious
0.374583,0.0,0.0,0.44,35,1,0.0,Religious
0.401667,0.166667,0.0,0.22,38,2,0.166667,Religious
0.214583,0.166667,0.0,0.11,53,2,0.0,Religious
0.399352,0.333333,0.333333,0.11,30,1,0.0,Religious
0.42713,0.333333,1.0,0.55,50,2,0.0,Religious
0.124583,0.0,1.0,0.44,46,6,0.0,Religious
0.364213,0.166667,0.333333,0.55,25,2,0.166667,Religious
0.309213,0.111111,0.0,0.44,60,7,0.0,Religious
0.329352,0.165556,0.0,0.33,48,0,0.0,Religious
0.366111,0.055556,0.0,0.55,38,1,0.0,Religious
0.462685,0.0,0.666667,0.44,28,2,0.22,Religious
0.443194,0.165556,0.0,0.33,36,3,0.0,Religious
0.216343,0.166667,0.666667,0.663333,62,2,0.0,Religious
0.313843,0.1505,0.333333,0.663333,60,0,0.166667,Religious
0.323102,0.1505,0.333333,0.663333,40,0,0.386667,Religious
0.332361,0.2955,0.333333,0.663333,38,0,0.166667,Religious
0.340648,0.0,1.0,0.33,40,7,0.166667,Religious
0.28088,0.055556,1.0,0.33,24,1,0.0,Religious
0.29463,0.055556,1.0,0.33,27,1,0.0,Religious
0.340648,0.055556,1.0,0.33,42,1,0.0,Religious
0.478333,0.4405,0.666667,0.33,27,2,0.166667,Secular
0.331667,0.055556,0.0,0.55,21,2,0.0,Religious
0.170046,0.111111,0.0,0.55,28,1,0.166667,Religious
0.258981,0.277778,0.666667,0.11,18,0,0.11,Religious
0.099259,0.0,1.0,0.11,27,2,0.0,Religious
0.193889,0.277778,0.0,0.11,28,0,0.103,Religious
0.221667,0.277778,0.0,0.0,20,0,0.0,Religious
0.244676,0.0,0.333333,0.0,24,5,0.276667,Religious
0.262917,0.277778,0.0,0.0,30,3,0.0,Religious
0.207083,0.277778,0.333333,0.773333,30,1,0.0,Religious
0.147593,0.277778,0.0,0.0,30,2,0.0,Religious
0.383704,0.222222,0.333333,0.11,32,1,0.0,Religious
0.221667,0.277778,0.0,0.0,38,1,0.11,Religious
0.431204,0.387778,0.0,0.44,21,2,0.0,Secular
0.36912,0.0,0.0,0.55,56,1,0.166667,Religious
0.221944,0.0,0.0,0.663333,50,0,0.0,Religious
0.362251,0.055556,1.0,0.22,32,1,0.386667,Religious
0.29287,0.277778,0.666667,0.44,20,2,0.11,Religious
0.366111,0.055556,0.0,0.773333,18,2,0.0,Religious
0.371713,0.277778,0.333333,0.33,25,2,0.0,Religious
0.36463,0.0,0.333333,0.22,21,1,0.0,Religious
0.193611,0.277778,1.0,0.44,25,0,0.22,Religious
0.215278,0.166667,1.0,0.44,24,2,0.11,Religious
0.357685,0.166667,0.333333,0.22,70,2,0.0,Religious
0.366528,0.166667,0.0,0.0,32,2,0.166667,Religious
0.496019,0.166667,0.333333,0.44,57,0,0.0,Religious
0.361759,0.2955,0.333333,0.44,45,0,0.276667,Religious
0.327037,0.166667,0.333333,0.33,30,3,0.276667,Religious
0.285787,0.166667,0.333333,0.33,28,2,0.11,Religious
0.30213,0.0,1.0,0.22,28,3,0.103,Religious
0.288519,0.0,0.666667,0.44,35,1,0.166667,Religious
0.4375,0.221111,0.666667,0.553333,60,0,0.33,Religious
0.40875,0.38833,0.666667,0.666667,44,0,0.386667,Secular
0.433519,0.222222,0.0,0.33,42,1,0.11,Religious
0.241944,0.277778,1.0,0.0,23,2,0.0,Religious
0.332778,0.0,0.0,0.0,34,7,0.0,Religious
0.25625,0.0,0.0,0.11,63,2,0.0,Religious
0.110833,0.0,0.0,0.0,70,1,0.0,Religious
0.259259,0.055556,0.666667,0.0,25,1,0.0,Religious
0.325833,0.0,0.0,0.11,38,1,0.0,Religious
0.408333,0.0,0.0,0.44,42,6,0.0,Religious
0.110833,0.111111,0.0,0.0,32,0,0.0,Religious
0.2425,0.221111,0.0,0.33,27,6,0.0,Religious
0.131111,0.111111,0.0,0.886667,20,2,0.276667,Religious
0.465333,0.277778,0.0,0.33,28,7,0.0,Religious
0.228889,0.166667,0.333333,0.33,32,2,0.11,Religious
0.293981,0.277778,1.0,0.66,23,3,0.11,Religious
0.222739,0.0,1.0,0.886667,65,0,0.11,Religious
0.200833,0.166667,0.0,0.66,30,1,0.0,Religious
0.332083,0.166667,0.0,0.22,35,5,0.0,Religious
0.31125,0.166667,0.0,0.773333,28,2,0.0,Religious
0.27,0.277778,0.0,0.33,63,1,0.0,Religious
0.401667,0.277778,0.0,0.333333,38,6,0.0,Religious
0.31125,0.277778,0.666667,0.553333,48,2,0.276667,Religious
0.318472,0.277778,0.666667,0.33,40,7,0.166667,Religious
0.333981,0.166667,0.333333,0.33,55,6,0.166667,Religious
0.219838,0.166667,1.0,0.33,70,0,0.166667,Religious
0.357269,0.166667,0.333333,0.22,70,1,0.0,Religious
0.385046,0.5,1.0,0.33,32,2,0.0,Secular
0.3325,0.0,1.0,0.44,32,2,0.11,Religious
0.237176,0.0,0.333333,0.44,35,1,0.166667,Religious
0.327593,0.0,0.0,0.33,45,3,0.166667,Religious
0.368704,0.1505,0.666667,0.553333,45,6,0.276667,Religious
0.311667,0.0,0.333333,0.33,35,1,0.0,Religious
0.269583,0.0,0.333333,0.55,60,2,0.0,Religious
0.311667,0.0,0.333333,0.11,53,0,0.0,Religious
0.262917,0.5,0.0,0.0,40,2,0.0,Secular
0.430278,0.166667,0.0,0.776667,23,2,0.0,Religious
0.429167,0.111111,0.0,0.773333,18,3,0.276667,Religious
0.198961,0.111111,0.0,0.776667,40,2,0.166667,Religious
0.304167,0.111111,0.0,0.22,55,1,0.0,Religious
0.357546,0.111111,0.0,0.33,57,1,0.0,Religious
0.198657,0.166667,0.666667,0.33,34,2,0.11,Religious
0.221667,0.277778,0.666667,0.33,23,1,0.11,Religious
0.538519,0.166667,1.0,0.44,20,3,0.0,Religious
0.453287,0.166667,0.333333,0.55,25,2,0.0,Religious
0.200417,0.166667,0.0,0.33,37,6,0.0,Religious
0.235417,0.166667,0.0,0.11,28,1,0.0,Religious
0.381111,0.166667,1.0,0.06,28,1,0.11,Religious
0.200417,0.0,0.0,0.44,30,2,0.0,Religious
0.110833,0.166667,0.666667,0.11,19,0,0.0,Religious
0.215,0.277778,0.333333,0.33,38,0,0.11,Religious
0.385046,0.277778,1.0,0.22,25,2,0.0,Religious
0.255694,0.4405,0.666667,0.33,25,2,0.166667,Secular
0.290833,0.166667,0.333333,0.22,50,1,0.0,Religious
0.274491,0.166667,0.666667,0.44,60,0,0.276667,Religious
0.303889,0.4405,0.333333,0.44,28,2,0.276667,Secular
0.424259,0.4405,0.666667,0.443333,22,1,0.166667,Secular
0.325,0.611111,0.0,0.44,32,0,0.386667,Secular
0.269167,0.055556,0.333333,0.33,65,2,0.166667,Religious
0.385185,0.554444,0.666667,0.33,48,1,0.22,Secular
0.495741,0.5,0.666667,0.666667,25,2,0.553333,Secular
0.358512,0.0,0.0,0.333333,40,2,0.0,Religious
0.334083,0.0,0.0,0.333333,45,1,0.0,Religious
0.400595,0.0,0.0,0.333333,40,0,0.0,Religious
0.233928,0.0,0.0,0.443333,35,0,0.0,Religious
0.346667,0.0,0.0,0.663333,18,2,0.103,Religious
0.317262,0.0,0.0,0.333333,23,6,0.0,Religious
0.425926,0.088,0.0,0.553333,32,0,0.0,Religious
0.374167,0.055556,0.666667,0.553333,40,0,0.0,Religious
0.249167,0.0,0.0,0.443333,30,1,0.103,Religious
0.37037,0.0,0.666667,0.33,19,3,0.386667,Religious
0.302546,0.0,1.0,0.33,40,0,0.11,Religious
0.392963,0.166667,0.666667,0.55,31,3,0.166667,Religious
0.138889,0.277778,1.0,0.33,60,2,0.11,Religious
0.452593,0.0,0.666667,0.44,53,0,0.0,Religious
0.380417,0.0,0.333333,0.33,25,2,0.0,Religious
0.36463,0.333333,0.333333,0.33,36,2,0.0,Religious
0.39213,0.055556,0.0,0.44,52,0,0.166667,Religious
0.531435,0.11,0.0,0.33,19,3,0.0,Religious
0.447685,0.11,0.0,0.44,39,3,0.0,Religious
